货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,优先系数,加权延误
S005-FOD-01,T22,S005,5886.940039661887,应急食品,14400.0,,6.0,0.0
S005-HYG-01,T22,S005,5886.940039661887,生活卫生用品,18000.0,,4.0,0.0
S005-MED-01,T15,S005,3936.7084055713512,医疗物资,10800.0,10800.0,16.0,0.0
S005-WAT-01,T22,S005,5886.940039661887,饮用水,10800.0,10800.0,8.0,0.0
S005-WAT-02,T15,S005,3936.7084055713512,饮用水,10800.0,,8.0,0.0
S005-WAT-03,T22,S005,5886.940039661887,饮用水,10800.0,,8.0,0.0
S006-FOD-01,T10,S006,1209.4219339682802,应急食品,7200.0,,10.0,0.0
S006-HYG-01,T10,S006,1209.4219339682802,生活卫生用品,10800.0,,8.0,0.0
S006-MED-01,T10,S006,1209.4219339682802,医疗物资,3600.0,3600.0,24.0,0.0
S006-WAT-01,T10,S006,1209.4219339682802,饮用水,3600.0,3600.0,12.0,0.0
S006-WAT-02,T10,S006,1209.4219339682802,饮用水,3600.0,,12.0,0.0
S006-WAT-03,T10,S006,1209.4219339682802,饮用水,3600.0,,12.0,0.0
S007-FOD-01,T14,S007,3196.1800426516343,应急食品,7200.0,,10.0,0.0
S007-HYG-01,T21,S007,4997.724690781959,生活卫生用品,10800.0,,8.0,0.0
S007-MED-01,T03,S007,1141.352042253366,医疗物资,3600.0,3600.0,24.0,0.0
S007-WAT-01,T14,S007,3196.1800426516343,饮用水,3600.0,3600.0,12.0,0.0
S007-WAT-02,T03,S007,1141.352042253366,饮用水,3600.0,,12.0,0.0
S008-FOD-01,T23,S008,5554.063890659502,应急食品,10800.0,,8.0,0.0
S008-HYG-01,T19,S008,4611.371125906833,生活卫生用品,14400.0,,6.0,0.0
S008-MED-01,T23,S008,5554.063890659502,医疗物资,7200.0,7200.0,20.0,0.0
S008-WAT-01,T23,S008,5554.063890659502,饮用水,7200.0,7200.0,10.0,0.0
S008-WAT-02,T19,S008,4611.371125906833,饮用水,7200.0,,10.0,0.0
S009-FOD-01,T13,S009,3795.2906396245116,应急食品,14400.0,,6.0,0.0
S009-MED-01,T13,S009,3795.2906396245116,医疗物资,10800.0,10800.0,16.0,0.0
S009-WAT-01,T13,S009,3795.2906396245116,饮用水,10800.0,10800.0,8.0,0.0
S010-FOD-01,T08,S010,2234.326656853285,应急食品,7200.0,,10.0,0.0
S010-MED-01,T08,S010,2234.326656853285,医疗物资,3600.0,3600.0,24.0,0.0
S010-WAT-01,T08,S010,2234.326656853285,饮用水,3600.0,3600.0,12.0,0.0
S011-FOD-01,T16,S011,4194.311160249888,应急食品,14400.0,,6.0,0.0
S011-MED-01,T04,S011,893.1981399933342,医疗物资,10800.0,10800.0,16.0,0.0
S011-WAT-01,T04,S011,893.1981399933342,饮用水,10800.0,10800.0,8.0,0.0
S012-FOD-01,T16,S012,5075.313484012328,应急食品,7200.0,,10.0,0.0
S012-MED-01,T11,S012,2556.4979834549576,医疗物资,7200.0,3600.0,22.0,0.0
S012-WAT-01,T11,S012,2556.4979834549576,饮用水,3600.0,3600.0,12.0,0.0
S013-FOD-01,T05,S013,1062.769495869822,应急食品,7200.0,,10.0,0.0
S013-MED-01,T05,S013,1062.769495869822,医疗物资,3600.0,3600.0,24.0,0.0
S013-WAT-01,T05,S013,1062.769495869822,饮用水,3600.0,3600.0,12.0,0.0
S014-FOD-01,T09,S014,2752.9071999091557,应急食品,7200.0,,10.0,0.0
S014-MED-01,T09,S014,2752.9071999091557,医疗物资,7200.0,3600.0,22.0,0.0
S014-WAT-01,T09,S014,2752.9071999091557,饮用水,3600.0,3600.0,12.0,0.0
S015-FOD-01,T06,S015,1257.734701560416,应急食品,14400.0,,6.0,0.0
S015-MED-01,T15,S015,4628.468371246105,医疗物资,7200.0,7200.0,18.0,0.0
S015-WAT-01,T06,S015,1257.734701560416,饮用水,10800.0,10800.0,8.0,0.0
