架次编号,机型,无人机,电池,航段序号,起点,终点,起点作业海拔_m,终点作业海拔_m,计划巡航海拔_m,起点爬升_m,终点下降_m,水平距离_m,航段载重_kg,航段能耗_kWh,航段飞行时间_s,起飞时刻_s,到达时刻_s,本段后是否投送,投送交接耗时_s,投送完成时刻_s
T08,A,U03,A-B3,2,S002,O01,219.5,127.7,308.9542541503906,89.45425415039062,181.25425415039064,7411.31,0.0,1.357735,719.929,1283.809,2003.738,否（返航）,0.0,
T09,C,U08,C-B3,1,O01,S001,127.7,184.0,273.0566101074219,145.3566101074219,89.05661010742188,3053.979,79.0,2.074451,306.27,2647.812,2954.082,是,396.0,3350.082
T09,C,U08,C-B3,2,S001,S005,184.0,195.0,316.13800048828125,132.13800048828125,121.13800048828125,2928.04,9.0,0.959079,308.627,3350.082,3658.709,是,252.0,3910.709
T09,C,U08,C-B3,3,S005,O01,195.0,127.7,326.410888671875,131.410888671875,198.710888671875,5280.607,0.0,1.659567,503.96,3910.709,4414.669,否（返航）,0.0,
T10,B,U06,B-B4,1,O01,S001,127.7,184.0,273.0566101074219,145.3566101074219,89.05661010742188,3053.979,25.0,0.69684,287.673,2259.756,2547.43,是,210.0,2757.43
T10,B,U06,B-B4,2,S001,S012,184.0,279.8,435.599609375,251.599609375,155.799609375,4697.684,3.0,0.74507,459.365,2757.43,3216.795,是,180.0,3396.795
T10,B,U06,B-B4,3,S012,O01,279.8,127.7,413.3009948730469,133.50099487304686,285.6009948730469,7390.492,0.0,1.088627,651.44,3396.795,4048.235,否（返航）,0.0,
T11,C,U07,C-B4,1,O01,S001,127.7,184.0,273.0566101074219,145.3566101074219,89.05661010742188,3053.979,79.0,2.074451,306.27,2893.021,3199.291,是,360.0,3559.291
T11,C,U07,C-B4,2,S001,S004,184.0,228.3,408.7777404785156,224.77774047851562,180.4777404785156,4927.678,31.0,1.828378,508.662,3559.291,4067.953,是,324.0,4391.953
T11,C,U07,C-B4,3,S004,O01,228.3,127.7,398.2391662597656,169.9391662597656,270.53916625976564,7714.696,0.0,2.418711,717.558,4391.953,5109.511,否（返航）,0.0,
T12,C,U08,C-B1,1,O01,S003,127.7,338.5,561.8041381835938,434.10413818359376,223.30413818359375,7263.179,62.0,3.749317,769.506,4898.788,5668.294,是,360.0,6028.294
T12,C,U08,C-B1,2,S003,S007,338.5,348.5,410.6993408203125,72.1993408203125,62.1993408203125,2734.262,6.0,0.87146,242.264,6028.294,6270.557,是,216.0,6486.557
T12,C,U08,C-B1,3,S007,O01,348.5,127.7,511.9731750488281,163.47317504882812,384.27317504882814,4534.461,0.0,1.438466,559.823,6486.557,7046.38,否（返航）,0.0,
T13,B,U05,B-B1,1,O01,S015,127.7,474.5,571.7992553710938,444.09925537109376,97.29925537109375,6009.383,25.0,1.425033,587.578,3455.852,4043.43,是,240.0,4283.43
T13,B,U05,B-B1,2,S015,O01,474.5,127.7,571.7992553710938,97.29925537109375,444.09925537109376,6009.383,0.0,0.88242,610.698,4283.43,4894.129,否（返航）,0.0,
T14,B,U06,B-B2,1,O01,S003,127.7,338.5,561.8041381835938,434.10413818359376,223.30413818359375,7263.179,25.0,1.687386,718.235,4438.235,5156.47,是,240.0,5396.47
T14,B,U06,B-B2,2,S003,O01,338.5,127.7,561.8041381835938,223.30413818359375,434.10413818359376,7263.179,0.0,1.092531,732.288,5396.47,6128.759,否（返航）,0.0,
T15,B,U05,B-B3,1,O01,S004,127.7,228.3,398.2391662597656,270.53916625976564,169.9391662597656,7714.696,28.0,1.891452,672.468,5254.129,5926.597,是,210.0,6136.597
T15,B,U05,B-B3,2,S004,O01,228.3,127.7,398.2391662597656,169.9391662597656,270.53916625976564,7714.696,0.0,1.143906,679.175,6136.597,6815.772,否（返航）,0.0,
T16,C,U07,C-B2,1,O01,S011,127.7,212.1,295.36175537109375,167.66175537109376,83.26175537109376,2808.074,70.0,1.633669,295.901,5649.511,5945.412,是,288.0,6233.412
T16,C,U07,C-B2,2,S011,S008,212.1,270.9,412.91650390625,200.81650390625,142.01650390625002,5327.212,45.0,2.208271,506.482,6233.412,6739.894,是,360.0,7099.894
T16,C,U07,C-B2,3,S008,O01,270.9,127.7,372.9093322753906,102.00933227539065,245.20933227539064,8079.033,0.0,2.512843,702.011,7099.894,7801.905,否（返航）,0.0,
T17,C,U08,C-B3,1,O01,S005,127.7,195.0,326.410888671875,198.710888671875,131.410888671875,5280.607,75.0,3.287245,497.23,7556.38,8053.611,是,324.0,8377.611
T17,C,U08,C-B3,2,S005,S009,195.0,230.0,363.5632019042969,168.56320190429688,133.56320190429688,2649.923,25.0,0.960565,310.868,8377.611,8688.479,是,288.0,8976.479
T17,C,U08,C-B3,3,S009,O01,230.0,127.7,293.2289123535156,63.228912353515625,165.52891235351564,5705.145,0.0,1.772157,488.399,8976.479,9464.878,否（返航）,0.0,
T18,A,U04,A-B4,1,O01,S007,127.7,348.5,511.9731750488281,384.27317504882814,163.47317504882812,4534.461,22.0,1.11141,571.352,360.0,931.352,是,210.0,1141.352
T18,A,U04,A-B4,2,S007,O01,348.5,127.7,511.9731750488281,163.47317504882812,384.27317504882814,4534.461,0.0,0.859512,586.072,1141.352,1727.424,否（返航）,0.0,
