总架次数,服务区,架次,机型,货箱编号列表,箱数,质量_kg,体积_m3,能耗_kwh,作业时间_s,返航SOC,往返时间_含交接_s
18,S013,1,B,"S013-MED-01,S013-WAT-01,S013-FOD-01",3,25.0,0.067,1.8247592722504478,1510.4723250729776,0.5438101819373881,1120.4723250729776
18,S014,1,B,"S014-MED-01,S014-WAT-01,S014-FOD-01",3,25.0,0.067,2.1403884819942354,1869.7564163390177,0.46490287950144116,1479.7564163390177
18,S015,1,B,"S015-MED-01,S015-WAT-01,S015-FOD-01",3,25.0,0.067,2.3074528242269907,1828.2766374055198,0.4231367939432523,1438.2766374055198
19,S001,1,C,"S001-MED-01,S001-MED-02,S001-WAT-03,S001-WAT-05,S001-WAT-08,S001-FOD-01,S001-FOD-02,S001-HYG-01,S001-HYG-02",9,76.0,0.231,2.9175823075508114,1692.169077324681,0.6353022115561486,1122.169077324681
19,S001,2,C,"S001-WAT-01,S001-WAT-02,S001-WAT-04,S001-WAT-06,S001-WAT-07,S001-FOD-03",6,78.0,0.163,2.995769262690981,1494.169077324681,0.6255288421636274,1014.169077324681
19,S002,1,C,"S002-WAT-01,S002-WAT-03,S002-WAT-04,S002-FOD-02,S002-HYG-01",5,56.0,0.14400000000000002,5.721224670804878,2041.8123848059554,0.2848469161493903,1591.8123848059554
19,S002,2,B,"S002-MED-01,S002-WAT-02,S002-FOD-01",3,25.0,0.067,2.713422287413139,1816.6943000891586,0.32164442814671523,1426.6943000891586
19,S003,1,B,"S003-MED-01,S003-WAT-04,S003-FOD-02",3,25.0,0.067,2.7799174678521688,2080.5233034983767,0.3050206330369578,1690.5233034983767
19,S003,2,C,"S003-WAT-01,S003-WAT-02,S003-WAT-03,S003-FOD-01,S003-HYG-01",5,56.0,0.14400000000000002,5.764965114940174,2370.0913495595746,0.27937936063247826,1920.0913495595746
19,S004,1,C,"S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01",6,59.0,0.156,6.152932018901095,2301.0566924821483,0.23088349763736316,1821.0566924821483
19,S005,1,C,"S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-FOD-01,S005-HYG-01",6,59.0,0.156,4.222192859504678,1877.1905245253758,0.4722258925619153,1397.1905245253758
19,S006,1,C,"S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01",6,59.0,0.156,2.597987864766336,1561.5538679365604,0.6752515169042079,1081.5538679365604
19,S007,1,C,"S007-MED-01,S007-WAT-01,S007-WAT-02,S007-FOD-01,S007-HYG-01",5,45.0,0.129,3.4108943798590823,1907.566457302651,0.5736382025176148,1457.566457302651
19,S008,1,B,"S008-WAT-02,S008-HYG-01",2,20.0,0.062,2.763441255255257,1901.83143565634,0.3091396861861857,1541.83143565634
19,S008,2,B,"S008-MED-01,S008-WAT-01,S008-FOD-01",3,25.0,0.067,2.975216526357546,1961.83143565634,0.2561958684106135,1571.83143565634
19,S009,1,B,"S009-MED-01,S009-WAT-01,S009-FOD-01",3,25.0,0.067,2.096233734403653,1558.4417330802994,0.4759415663990868,1168.4417330802994
19,S010,1,B,"S010-MED-01,S010-WAT-01,S010-FOD-01",3,25.0,0.067,1.8231956979948278,1555.3795657954836,0.544201075501293,1165.3795657954836
19,S011,1,B,"S011-MED-01,S011-WAT-01,S011-FOD-01",3,25.0,0.067,1.0739517654257826,1188.4204722315221,0.7315120586435544,798.4204722315221
19,S012,1,B,"S012-MED-01,S012-WAT-01,S012-FOD-01",3,25.0,0.067,2.7524142987161233,1922.740350712013,0.3118964253209692,1532.740350712013
19,S013,1,B,"S013-MED-01,S013-WAT-01,S013-FOD-01",3,25.0,0.067,1.8247592722504478,1510.4723250729776,0.5438101819373881,1120.4723250729776
19,S014,1,B,"S014-MED-01,S014-WAT-01,S014-FOD-01",3,25.0,0.067,2.1403884819942354,1869.7564163390177,0.46490287950144116,1479.7564163390177
19,S015,1,B,"S015-MED-01,S015-WAT-01,S015-FOD-01",3,25.0,0.067,2.3074528242269907,1828.2766374055198,0.4231367939432523,1438.2766374055198
20,S001,1,C,"S001-MED-01,S001-MED-02,S001-WAT-03,S001-WAT-05,S001-WAT-08,S001-FOD-01,S001-FOD-02,S001-HYG-01,S001-HYG-02",9,76.0,0.231,2.9175823075508114,1692.169077324681,0.6353022115561486,1122.169077324681
20,S001,2,C,"S001-WAT-01,S001-WAT-02,S001-WAT-04,S001-WAT-06,S001-WAT-07,S001-FOD-03",6,78.0,0.163,2.995769262690981,1494.169077324681,0.6255288421636274,1014.169077324681
20,S002,1,C,"S002-WAT-01,S002-WAT-03,S002-WAT-04,S002-FOD-02,S002-HYG-01",5,56.0,0.14400000000000002,5.721224670804878,2041.8123848059554,0.2848469161493903,1591.8123848059554
20,S002,2,B,"S002-MED-01,S002-WAT-02,S002-FOD-01",3,25.0,0.067,2.713422287413139,1816.6943000891586,0.32164442814671523,1426.6943000891586
20,S003,1,B,"S003-MED-01,S003-WAT-04,S003-FOD-02",3,25.0,0.067,2.7799174678521688,2080.5233034983767,0.3050206330369578,1690.5233034983767
20,S003,2,C,"S003-WAT-01,S003-WAT-02,S003-WAT-03,S003-FOD-01,S003-HYG-01",5,56.0,0.14400000000000002,5.764965114940174,2370.0913495595746,0.27937936063247826,1920.0913495595746
20,S004,1,C,"S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01",6,59.0,0.156,6.152932018901095,2301.0566924821483,0.23088349763736316,1821.0566924821483
20,S005,1,C,"S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-FOD-01,S005-HYG-01",6,59.0,0.156,4.222192859504678,1877.1905245253758,0.4722258925619153,1397.1905245253758
20,S006,1,C,"S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01",6,59.0,0.156,2.597987864766336,1561.5538679365604,0.6752515169042079,1081.5538679365604
20,S007,1,B,"S007-MED-01,S007-WAT-02,S007-FOD-01",3,25.0,0.067,1.7800228340297786,1636.275398953042,0.5549942914925554,1246.275398953042
20,S007,2,B,"S007-WAT-01,S007-HYG-01",2,20.0,0.062,1.6564938183610067,1576.275398953042,0.5858765454097483,1216.275398953042
20,S008,1,B,"S008-WAT-02,S008-HYG-01",2,20.0,0.062,2.763441255255257,1901.83143565634,0.3091396861861857,1541.83143565634
20,S008,2,B,"S008-MED-01,S008-WAT-01,S008-FOD-01",3,25.0,0.067,2.975216526357546,1961.83143565634,0.2561958684106135,1571.83143565634
20,S009,1,B,"S009-MED-01,S009-WAT-01,S009-FOD-01",3,25.0,0.067,2.096233734403653,1558.4417330802994,0.4759415663990868,1168.4417330802994
20,S010,1,B,"S010-MED-01,S010-WAT-01,S010-FOD-01",3,25.0,0.067,1.8231956979948278,1555.3795657954836,0.544201075501293,1165.3795657954836
20,S011,1,B,"S011-MED-01,S011-WAT-01,S011-FOD-01",3,25.0,0.067,1.0739517654257826,1188.4204722315221,0.7315120586435544,798.4204722315221
20,S012,1,B,"S012-MED-01,S012-WAT-01,S012-FOD-01",3,25.0,0.067,2.7524142987161233,1922.740350712013,0.3118964253209692,1532.740350712013
20,S013,1,B,"S013-MED-01,S013-WAT-01,S013-FOD-01",3,25.0,0.067,1.8247592722504478,1510.4723250729776,0.5438101819373881,1120.4723250729776
20,S014,1,B,"S014-MED-01,S014-WAT-01,S014-FOD-01",3,25.0,0.067,2.1403884819942354,1869.7564163390177,0.46490287950144116,1479.7564163390177
20,S015,1,B,"S015-MED-01,S015-WAT-01,S015-FOD-01",3,25.0,0.067,2.3074528242269907,1828.2766374055198,0.4231367939432523,1438.2766374055198
21,S001,1,B,"S001-WAT-03,S001-WAT-07",2,28.0,0.054,1.2204176159531144,1149.100207288874,0.6948955960117214,789.1002072888739
21,S001,2,C,"S001-MED-01,S001-MED-02,S001-WAT-04,S001-WAT-06,S001-WAT-08,S001-FOD-03,S001-HYG-01",7,62.0,0.168,2.521179646846329,1560.169077324681,0.6848525441442088,1050.169077324681
21,S001,3,C,"S001-WAT-01,S001-WAT-02,S001-WAT-05,S001-FOD-01,S001-FOD-02,S001-HYG-02",6,64.0,0.17200000000000001,2.565578385897146,1494.169077324681,0.6793027017628568,1014.169077324681
21,S002,1,C,"S002-WAT-01,S002-WAT-03,S002-WAT-04,S002-FOD-02,S002-HYG-01",5,56.0,0.14400000000000002,5.721224670804878,2041.8123848059554,0.2848469161493903,1591.8123848059554
21,S002,2,B,"S002-MED-01,S002-WAT-02,S002-FOD-01",3,25.0,0.067,2.713422287413139,1816.6943000891586,0.32164442814671523,1426.6943000891586
21,S003,1,B,"S003-MED-01,S003-WAT-04,S003-FOD-02",3,25.0,0.067,2.7799174678521688,2080.5233034983767,0.3050206330369578,1690.5233034983767
21,S003,2,C,"S003-WAT-01,S003-WAT-02,S003-WAT-03,S003-FOD-01,S003-HYG-01",5,56.0,0.14400000000000002,5.764965114940174,2370.0913495595746,0.27937936063247826,1920.0913495595746
21,S004,1,C,"S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01",6,59.0,0.156,6.152932018901095,2301.0566924821483,0.23088349763736316,1821.0566924821483
21,S005,1,C,"S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-FOD-01,S005-HYG-01",6,59.0,0.156,4.222192859504678,1877.1905245253758,0.4722258925619153,1397.1905245253758
21,S006,1,C,"S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01",6,59.0,0.156,2.597987864766336,1561.5538679365604,0.6752515169042079,1081.5538679365604
21,S007,1,B,"S007-MED-01,S007-WAT-02,S007-FOD-01",3,25.0,0.067,1.7800228340297786,1636.275398953042,0.5549942914925554,1246.275398953042
21,S007,2,B,"S007-WAT-01,S007-HYG-01",2,20.0,0.062,1.6564938183610067,1576.275398953042,0.5858765454097483,1216.275398953042
21,S008,1,B,"S008-WAT-02,S008-HYG-01",2,20.0,0.062,2.763441255255257,1901.83143565634,0.3091396861861857,1541.83143565634
21,S008,2,B,"S008-MED-01,S008-WAT-01,S008-FOD-01",3,25.0,0.067,2.975216526357546,1961.83143565634,0.2561958684106135,1571.83143565634
21,S009,1,B,"S009-MED-01,S009-WAT-01,S009-FOD-01",3,25.0,0.067,2.096233734403653,1558.4417330802994,0.4759415663990868,1168.4417330802994
21,S010,1,B,"S010-MED-01,S010-WAT-01,S010-FOD-01",3,25.0,0.067,1.8231956979948278,1555.3795657954836,0.544201075501293,1165.3795657954836
21,S011,1,B,"S011-MED-01,S011-WAT-01,S011-FOD-01",3,25.0,0.067,1.0739517654257826,1188.4204722315221,0.7315120586435544,798.4204722315221
21,S012,1,B,"S012-MED-01,S012-WAT-01,S012-FOD-01",3,25.0,0.067,2.7524142987161233,1922.740350712013,0.3118964253209692,1532.740350712013
21,S013,1,B,"S013-MED-01,S013-WAT-01,S013-FOD-01",3,25.0,0.067,1.8247592722504478,1510.4723250729776,0.5438101819373881,1120.4723250729776
21,S014,1,B,"S014-MED-01,S014-WAT-01,S014-FOD-01",3,25.0,0.067,2.1403884819942354,1869.7564163390177,0.46490287950144116,1479.7564163390177
21,S015,1,B,"S015-MED-01,S015-WAT-01,S015-FOD-01",3,25.0,0.067,2.3074528242269907,1828.2766374055198,0.4231367939432523,1438.2766374055198
22,S001,1,C,"S001-MED-01,S001-MED-02,S001-WAT-05,S001-WAT-06,S001-FOD-01,S001-FOD-02,S001-FOD-03,S001-HYG-01,S001-HYG-02",9,70.0,0.232,2.720392502718219,1692.169077324681,0.6599509371602226,1122.169077324681
22,S001,2,B,"S001-WAT-07,S001-WAT-08",2,28.0,0.054,1.2204176159531144,1149.100207288874,0.6948955960117214,789.1002072888739
22,S001,3,B,"S001-WAT-01,S001-WAT-03",2,28.0,0.054,1.2204176159531144,1149.100207288874,0.6948955960117214,789.1002072888739
22,S001,4,B,"S001-WAT-02,S001-WAT-04",2,28.0,0.054,1.2204176159531144,1149.100207288874,0.6948955960117214,789.1002072888739
22,S002,1,C,"S002-WAT-01,S002-WAT-03,S002-WAT-04,S002-FOD-02,S002-HYG-01",5,56.0,0.14400000000000002,5.721224670804878,2041.8123848059554,0.2848469161493903,1591.8123848059554
22,S002,2,B,"S002-MED-01,S002-WAT-02,S002-FOD-01",3,25.0,0.067,2.713422287413139,1816.6943000891586,0.32164442814671523,1426.6943000891586
22,S003,1,B,"S003-MED-01,S003-WAT-04,S003-FOD-02",3,25.0,0.067,2.7799174678521688,2080.5233034983767,0.3050206330369578,1690.5233034983767
22,S003,2,C,"S003-WAT-01,S003-WAT-02,S003-WAT-03,S003-FOD-01,S003-HYG-01",5,56.0,0.14400000000000002,5.764965114940174,2370.0913495595746,0.27937936063247826,1920.0913495595746
22,S004,1,C,"S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01",6,59.0,0.156,6.152932018901095,2301.0566924821483,0.23088349763736316,1821.0566924821483
22,S005,1,C,"S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-FOD-01,S005-HYG-01",6,59.0,0.156,4.222192859504678,1877.1905245253758,0.4722258925619153,1397.1905245253758
22,S006,1,C,"S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01",6,59.0,0.156,2.597987864766336,1561.5538679365604,0.6752515169042079,1081.5538679365604
22,S007,1,B,"S007-MED-01,S007-WAT-02,S007-FOD-01",3,25.0,0.067,1.7800228340297786,1636.275398953042,0.5549942914925554,1246.275398953042
22,S007,2,B,"S007-WAT-01,S007-HYG-01",2,20.0,0.062,1.6564938183610067,1576.275398953042,0.5858765454097483,1216.275398953042
22,S008,1,B,"S008-WAT-02,S008-HYG-01",2,20.0,0.062,2.763441255255257,1901.83143565634,0.3091396861861857,1541.83143565634
22,S008,2,B,"S008-MED-01,S008-WAT-01,S008-FOD-01",3,25.0,0.067,2.975216526357546,1961.83143565634,0.2561958684106135,1571.83143565634
22,S009,1,B,"S009-MED-01,S009-WAT-01,S009-FOD-01",3,25.0,0.067,2.096233734403653,1558.4417330802994,0.4759415663990868,1168.4417330802994
22,S010,1,B,"S010-MED-01,S010-WAT-01,S010-FOD-01",3,25.0,0.067,1.8231956979948278,1555.3795657954836,0.544201075501293,1165.3795657954836
22,S011,1,B,"S011-MED-01,S011-WAT-01,S011-FOD-01",3,25.0,0.067,1.0739517654257826,1188.4204722315221,0.7315120586435544,798.4204722315221
22,S012,1,B,"S012-MED-01,S012-WAT-01,S012-FOD-01",3,25.0,0.067,2.7524142987161233,1922.740350712013,0.3118964253209692,1532.740350712013
22,S013,1,B,"S013-MED-01,S013-WAT-01,S013-FOD-01",3,25.0,0.067,1.8247592722504478,1510.4723250729776,0.5438101819373881,1120.4723250729776
22,S014,1,B,"S014-MED-01,S014-WAT-01,S014-FOD-01",3,25.0,0.067,2.1403884819942354,1869.7564163390177,0.46490287950144116,1479.7564163390177
22,S015,1,B,"S015-MED-01,S015-WAT-01,S015-FOD-01",3,25.0,0.067,2.3074528242269907,1828.2766374055198,0.4231367939432523,1438.2766374055198
23,S001,1,C,"S001-MED-01,S001-WAT-01,S001-WAT-03,S001-WAT-06,S001-HYG-01,S001-HYG-02",6,57.0,0.163,2.4227990791488394,1494.169077324681,0.697150115106395,1014.169077324681
23,S001,2,B,"S001-WAT-04,S001-FOD-02",2,22.0,0.055,1.1029957374243655,1149.100207288874,0.7242510656439086,789.1002072888739
23,S001,3,B,"S001-MED-02,S001-WAT-08,S001-FOD-03",3,25.0,0.067,1.1550313583992384,1209.100207288874,0.7112421604001904,819.1002072888739
23,S001,4,B,"S001-WAT-05,S001-WAT-07",2,28.0,0.054,1.2204176159531144,1149.100207288874,0.6948955960117214,789.1002072888739
23,S001,5,B,"S001-WAT-02,S001-FOD-01",2,22.0,0.055,1.1029957374243655,1149.100207288874,0.7242510656439086,789.1002072888739
23,S002,1,C,"S002-WAT-01,S002-WAT-03,S002-WAT-04,S002-FOD-02,S002-HYG-01",5,56.0,0.14400000000000002,5.721224670804878,2041.8123848059554,0.2848469161493903,1591.8123848059554
23,S002,2,B,"S002-MED-01,S002-WAT-02,S002-FOD-01",3,25.0,0.067,2.713422287413139,1816.6943000891586,0.32164442814671523,1426.6943000891586
23,S003,1,B,"S003-MED-01,S003-WAT-04,S003-FOD-02",3,25.0,0.067,2.7799174678521688,2080.5233034983767,0.3050206330369578,1690.5233034983767
23,S003,2,C,"S003-WAT-01,S003-WAT-02,S003-WAT-03,S003-FOD-01,S003-HYG-01",5,56.0,0.14400000000000002,5.764965114940174,2370.0913495595746,0.27937936063247826,1920.0913495595746
23,S004,1,C,"S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01",6,59.0,0.156,6.152932018901095,2301.0566924821483,0.23088349763736316,1821.0566924821483
23,S005,1,C,"S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-FOD-01,S005-HYG-01",6,59.0,0.156,4.222192859504678,1877.1905245253758,0.4722258925619153,1397.1905245253758
23,S006,1,C,"S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01",6,59.0,0.156,2.597987864766336,1561.5538679365604,0.6752515169042079,1081.5538679365604
23,S007,1,B,"S007-MED-01,S007-WAT-02,S007-FOD-01",3,25.0,0.067,1.7800228340297786,1636.275398953042,0.5549942914925554,1246.275398953042
23,S007,2,B,"S007-WAT-01,S007-HYG-01",2,20.0,0.062,1.6564938183610067,1576.275398953042,0.5858765454097483,1216.275398953042
23,S008,1,B,"S008-WAT-02,S008-HYG-01",2,20.0,0.062,2.763441255255257,1901.83143565634,0.3091396861861857,1541.83143565634
23,S008,2,B,"S008-MED-01,S008-WAT-01,S008-FOD-01",3,25.0,0.067,2.975216526357546,1961.83143565634,0.2561958684106135,1571.83143565634
23,S009,1,B,"S009-MED-01,S009-WAT-01,S009-FOD-01",3,25.0,0.067,2.096233734403653,1558.4417330802994,0.4759415663990868,1168.4417330802994
23,S010,1,B,"S010-MED-01,S010-WAT-01,S010-FOD-01",3,25.0,0.067,1.8231956979948278,1555.3795657954836,0.544201075501293,1165.3795657954836
23,S011,1,B,"S011-MED-01,S011-WAT-01,S011-FOD-01",3,25.0,0.067,1.0739517654257826,1188.4204722315221,0.7315120586435544,798.4204722315221
23,S012,1,B,"S012-MED-01,S012-WAT-01,S012-FOD-01",3,25.0,0.067,2.7524142987161233,1922.740350712013,0.3118964253209692,1532.740350712013
23,S013,1,B,"S013-MED-01,S013-WAT-01,S013-FOD-01",3,25.0,0.067,1.8247592722504478,1510.4723250729776,0.5438101819373881,1120.4723250729776
23,S014,1,B,"S014-MED-01,S014-WAT-01,S014-FOD-01",3,25.0,0.067,2.1403884819942354,1869.7564163390177,0.46490287950144116,1479.7564163390177
23,S015,1,B,"S015-MED-01,S015-WAT-01,S015-FOD-01",3,25.0,0.067,2.3074528242269907,1828.2766374055198,0.4231367939432523,1438.2766374055198
