服务区,子集掩码,货箱编号列表,机型,箱数,质量_kg,体积_m3,能耗_kwh,作业时间_s,返航SOC
S001,7,"S001-MED-01,S001-MED-02,S001-WAT-01",B,3,20.0,0.051000000000000004,1.0736605202870928,1208.376461337119,0.7315848699282268
S001,7,"S001-MED-01,S001-MED-02,S001-WAT-01",C,3,20.0,0.051000000000000004,2.019862376329389,1295.280847221722,0.7475172029588264
S001,8,S001-WAT-02,A,1,14.0,0.027,1.2192098922071886,1190.1757521983359,0.7290644683984026
S001,8,S001-WAT-02,B,1,14.0,0.027,1.0066776428693578,1088.376461337119,0.7483305892826606
S001,8,S001-WAT-02,C,1,14.0,0.027,1.9873345829376692,1163.280847221722,0.7515831771327913
S001,9,"S001-MED-01,S001-WAT-02",A,2,17.0,0.039,1.239997498921291,1250.1757521983359,0.7244450002397131
S001,9,"S001-MED-01,S001-WAT-02",B,2,17.0,0.039,1.0368790954372762,1148.376461337119,0.740780226140681
S001,9,"S001-MED-01,S001-WAT-02",C,2,17.0,0.039,2.0027362727460956,1229.280847221722,0.749657965906738
S001,10,"S001-MED-02,S001-WAT-02",A,2,17.0,0.039,1.239997498921291,1250.1757521983359,0.7244450002397131
S001,10,"S001-MED-02,S001-WAT-02",B,2,17.0,0.039,1.0368790954372762,1148.376461337119,0.740780226140681
S001,10,"S001-MED-02,S001-WAT-02",C,2,17.0,0.039,2.0027362727460956,1229.280847221722,0.749657965906738
S001,11,"S001-MED-01,S001-MED-02,S001-WAT-02",A,3,20.0,0.051000000000000004,1.2640065415603854,1310.1757521983359,0.7191096574310254
S001,11,"S001-MED-01,S001-MED-02,S001-WAT-02",B,3,20.0,0.051000000000000004,1.0736605202870928,1208.376461337119,0.7315848699282268
S001,11,"S001-MED-01,S001-MED-02,S001-WAT-02",C,3,20.0,0.051000000000000004,2.019862376329389,1295.280847221722,0.7475172029588264
S001,12,"S001-WAT-01,S001-WAT-02",B,2,28.0,0.054,1.2200661075233499,1148.376461337119,0.6949834731191625
S001,12,"S001-WAT-01,S001-WAT-02",C,2,28.0,0.054,2.0743379147742087,1229.280847221722,0.740707760653224
S001,13,"S001-MED-01,S001-WAT-01,S001-WAT-02",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,14,"S001-MED-02,S001-WAT-01,S001-WAT-02",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,15,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02",C,4,34.0,0.078,2.1244712300416255,1361.280847221722,0.7344410962447968
S001,16,S001-WAT-03,A,1,14.0,0.027,1.2192098922071886,1190.1757521983359,0.7290644683984026
S001,16,S001-WAT-03,B,1,14.0,0.027,1.0066776428693578,1088.376461337119,0.7483305892826606
S001,16,S001-WAT-03,C,1,14.0,0.027,1.9873345829376692,1163.280847221722,0.7515831771327913
S001,17,"S001-MED-01,S001-WAT-03",A,2,17.0,0.039,1.239997498921291,1250.1757521983359,0.7244450002397131
S001,17,"S001-MED-01,S001-WAT-03",B,2,17.0,0.039,1.0368790954372762,1148.376461337119,0.740780226140681
S001,17,"S001-MED-01,S001-WAT-03",C,2,17.0,0.039,2.0027362727460956,1229.280847221722,0.749657965906738
S001,18,"S001-MED-02,S001-WAT-03",A,2,17.0,0.039,1.239997498921291,1250.1757521983359,0.7244450002397131
S001,18,"S001-MED-02,S001-WAT-03",B,2,17.0,0.039,1.0368790954372762,1148.376461337119,0.740780226140681
S001,18,"S001-MED-02,S001-WAT-03",C,2,17.0,0.039,2.0027362727460956,1229.280847221722,0.749657965906738
S001,19,"S001-MED-01,S001-MED-02,S001-WAT-03",A,3,20.0,0.051000000000000004,1.2640065415603854,1310.1757521983359,0.7191096574310254
S001,19,"S001-MED-01,S001-MED-02,S001-WAT-03",B,3,20.0,0.051000000000000004,1.0736605202870928,1208.376461337119,0.7315848699282268
S001,19,"S001-MED-01,S001-MED-02,S001-WAT-03",C,3,20.0,0.051000000000000004,2.019862376329389,1295.280847221722,0.7475172029588264
S001,20,"S001-WAT-01,S001-WAT-03",B,2,28.0,0.054,1.2200661075233499,1148.376461337119,0.6949834731191625
S001,20,"S001-WAT-01,S001-WAT-03",C,2,28.0,0.054,2.0743379147742087,1229.280847221722,0.740707760653224
S001,21,"S001-MED-01,S001-WAT-01,S001-WAT-03",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,22,"S001-MED-02,S001-WAT-01,S001-WAT-03",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,23,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-03",C,4,34.0,0.078,2.1244712300416255,1361.280847221722,0.7344410962447968
S001,24,"S001-WAT-02,S001-WAT-03",B,2,28.0,0.054,1.2200661075233499,1148.376461337119,0.6949834731191625
S001,24,"S001-WAT-02,S001-WAT-03",C,2,28.0,0.054,2.0743379147742087,1229.280847221722,0.740707760653224
S001,25,"S001-MED-01,S001-WAT-02,S001-WAT-03",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,26,"S001-MED-02,S001-WAT-02,S001-WAT-03",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,27,"S001-MED-01,S001-MED-02,S001-WAT-02,S001-WAT-03",C,4,34.0,0.078,2.1244712300416255,1361.280847221722,0.7344410962447968
S001,28,"S001-WAT-01,S001-WAT-02,S001-WAT-03",C,3,42.0,0.081,2.2061238300702657,1295.280847221722,0.7242345212412168
S001,29,"S001-MED-01,S001-WAT-01,S001-WAT-02,S001-WAT-03",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,30,"S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,31,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03",C,5,48.0,0.105,2.2809986530833597,1427.280847221722,0.71487516836458
S001,32,S001-WAT-04,A,1,14.0,0.027,1.2192098922071886,1190.1757521983359,0.7290644683984026
S001,32,S001-WAT-04,B,1,14.0,0.027,1.0066776428693578,1088.376461337119,0.7483305892826606
S001,32,S001-WAT-04,C,1,14.0,0.027,1.9873345829376692,1163.280847221722,0.7515831771327913
S001,33,"S001-MED-01,S001-WAT-04",A,2,17.0,0.039,1.239997498921291,1250.1757521983359,0.7244450002397131
S001,33,"S001-MED-01,S001-WAT-04",B,2,17.0,0.039,1.0368790954372762,1148.376461337119,0.740780226140681
S001,33,"S001-MED-01,S001-WAT-04",C,2,17.0,0.039,2.0027362727460956,1229.280847221722,0.749657965906738
S001,34,"S001-MED-02,S001-WAT-04",A,2,17.0,0.039,1.239997498921291,1250.1757521983359,0.7244450002397131
S001,34,"S001-MED-02,S001-WAT-04",B,2,17.0,0.039,1.0368790954372762,1148.376461337119,0.740780226140681
S001,34,"S001-MED-02,S001-WAT-04",C,2,17.0,0.039,2.0027362727460956,1229.280847221722,0.749657965906738
S001,35,"S001-MED-01,S001-MED-02,S001-WAT-04",A,3,20.0,0.051000000000000004,1.2640065415603854,1310.1757521983359,0.7191096574310254
S001,35,"S001-MED-01,S001-MED-02,S001-WAT-04",B,3,20.0,0.051000000000000004,1.0736605202870928,1208.376461337119,0.7315848699282268
S001,35,"S001-MED-01,S001-MED-02,S001-WAT-04",C,3,20.0,0.051000000000000004,2.019862376329389,1295.280847221722,0.7475172029588264
S001,36,"S001-WAT-01,S001-WAT-04",B,2,28.0,0.054,1.2200661075233499,1148.376461337119,0.6949834731191625
S001,36,"S001-WAT-01,S001-WAT-04",C,2,28.0,0.054,2.0743379147742087,1229.280847221722,0.740707760653224
S001,37,"S001-MED-01,S001-WAT-01,S001-WAT-04",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,38,"S001-MED-02,S001-WAT-01,S001-WAT-04",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,39,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-04",C,4,34.0,0.078,2.1244712300416255,1361.280847221722,0.7344410962447968
S001,40,"S001-WAT-02,S001-WAT-04",B,2,28.0,0.054,1.2200661075233499,1148.376461337119,0.6949834731191625
S001,40,"S001-WAT-02,S001-WAT-04",C,2,28.0,0.054,2.0743379147742087,1229.280847221722,0.740707760653224
S001,41,"S001-MED-01,S001-WAT-02,S001-WAT-04",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,42,"S001-MED-02,S001-WAT-02,S001-WAT-04",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,43,"S001-MED-01,S001-MED-02,S001-WAT-02,S001-WAT-04",C,4,34.0,0.078,2.1244712300416255,1361.280847221722,0.7344410962447968
S001,44,"S001-WAT-01,S001-WAT-02,S001-WAT-04",C,3,42.0,0.081,2.2061238300702657,1295.280847221722,0.7242345212412168
S001,45,"S001-MED-01,S001-WAT-01,S001-WAT-02,S001-WAT-04",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,46,"S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-04",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,47,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-04",C,5,48.0,0.105,2.2809986530833597,1427.280847221722,0.71487516836458
S001,48,"S001-WAT-03,S001-WAT-04",B,2,28.0,0.054,1.2200661075233499,1148.376461337119,0.6949834731191625
S001,48,"S001-WAT-03,S001-WAT-04",C,2,28.0,0.054,2.0743379147742087,1229.280847221722,0.740707760653224
S001,49,"S001-MED-01,S001-WAT-03,S001-WAT-04",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,50,"S001-MED-02,S001-WAT-03,S001-WAT-04",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,51,"S001-MED-01,S001-MED-02,S001-WAT-03,S001-WAT-04",C,4,34.0,0.078,2.1244712300416255,1361.280847221722,0.7344410962447968
S001,52,"S001-WAT-01,S001-WAT-03,S001-WAT-04",C,3,42.0,0.081,2.2061238300702657,1295.280847221722,0.7242345212412168
S001,53,"S001-MED-01,S001-WAT-01,S001-WAT-03,S001-WAT-04",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,54,"S001-MED-02,S001-WAT-01,S001-WAT-03,S001-WAT-04",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,55,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-03,S001-WAT-04",C,5,48.0,0.105,2.2809986530833597,1427.280847221722,0.71487516836458
S001,56,"S001-WAT-02,S001-WAT-03,S001-WAT-04",C,3,42.0,0.081,2.2061238300702657,1295.280847221722,0.7242345212412168
S001,57,"S001-MED-01,S001-WAT-02,S001-WAT-03,S001-WAT-04",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,58,"S001-MED-02,S001-WAT-02,S001-WAT-03,S001-WAT-04",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,59,"S001-MED-01,S001-MED-02,S001-WAT-02,S001-WAT-03,S001-WAT-04",C,5,48.0,0.105,2.2809986530833597,1427.280847221722,0.71487516836458
S001,60,"S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04",C,4,56.0,0.108,2.404547633656105,1361.280847221722,0.6994315457929869
S001,61,"S001-MED-01,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04",C,5,59.0,0.12,2.4596685580363125,1427.280847221722,0.6925414302454609
S001,62,"S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04",C,5,59.0,0.12,2.4596685580363125,1427.280847221722,0.6925414302454609
S001,63,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04",C,6,62.0,0.132,2.5206778198290847,1493.280847221722,0.6849152725213644
S001,64,S001-WAT-05,A,1,14.0,0.027,1.2192098922071886,1190.1757521983359,0.7290644683984026
S001,64,S001-WAT-05,B,1,14.0,0.027,1.0066776428693578,1088.376461337119,0.7483305892826606
S001,64,S001-WAT-05,C,1,14.0,0.027,1.9873345829376692,1163.280847221722,0.7515831771327913
S001,65,"S001-MED-01,S001-WAT-05",A,2,17.0,0.039,1.239997498921291,1250.1757521983359,0.7244450002397131
S001,65,"S001-MED-01,S001-WAT-05",B,2,17.0,0.039,1.0368790954372762,1148.376461337119,0.740780226140681
S001,65,"S001-MED-01,S001-WAT-05",C,2,17.0,0.039,2.0027362727460956,1229.280847221722,0.749657965906738
S001,66,"S001-MED-02,S001-WAT-05",A,2,17.0,0.039,1.239997498921291,1250.1757521983359,0.7244450002397131
S001,66,"S001-MED-02,S001-WAT-05",B,2,17.0,0.039,1.0368790954372762,1148.376461337119,0.740780226140681
S001,66,"S001-MED-02,S001-WAT-05",C,2,17.0,0.039,2.0027362727460956,1229.280847221722,0.749657965906738
S001,67,"S001-MED-01,S001-MED-02,S001-WAT-05",A,3,20.0,0.051000000000000004,1.2640065415603854,1310.1757521983359,0.7191096574310254
S001,67,"S001-MED-01,S001-MED-02,S001-WAT-05",B,3,20.0,0.051000000000000004,1.0736605202870928,1208.376461337119,0.7315848699282268
S001,67,"S001-MED-01,S001-MED-02,S001-WAT-05",C,3,20.0,0.051000000000000004,2.019862376329389,1295.280847221722,0.7475172029588264
S001,68,"S001-WAT-01,S001-WAT-05",B,2,28.0,0.054,1.2200661075233499,1148.376461337119,0.6949834731191625
S001,68,"S001-WAT-01,S001-WAT-05",C,2,28.0,0.054,2.0743379147742087,1229.280847221722,0.740707760653224
S001,69,"S001-MED-01,S001-WAT-01,S001-WAT-05",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,70,"S001-MED-02,S001-WAT-01,S001-WAT-05",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,71,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-05",C,4,34.0,0.078,2.1244712300416255,1361.280847221722,0.7344410962447968
S001,72,"S001-WAT-02,S001-WAT-05",B,2,28.0,0.054,1.2200661075233499,1148.376461337119,0.6949834731191625
S001,72,"S001-WAT-02,S001-WAT-05",C,2,28.0,0.054,2.0743379147742087,1229.280847221722,0.740707760653224
S001,73,"S001-MED-01,S001-WAT-02,S001-WAT-05",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,74,"S001-MED-02,S001-WAT-02,S001-WAT-05",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,75,"S001-MED-01,S001-MED-02,S001-WAT-02,S001-WAT-05",C,4,34.0,0.078,2.1244712300416255,1361.280847221722,0.7344410962447968
S001,76,"S001-WAT-01,S001-WAT-02,S001-WAT-05",C,3,42.0,0.081,2.2061238300702657,1295.280847221722,0.7242345212412168
S001,77,"S001-MED-01,S001-WAT-01,S001-WAT-02,S001-WAT-05",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,78,"S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-05",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,79,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-05",C,5,48.0,0.105,2.2809986530833597,1427.280847221722,0.71487516836458
S001,80,"S001-WAT-03,S001-WAT-05",B,2,28.0,0.054,1.2200661075233499,1148.376461337119,0.6949834731191625
S001,80,"S001-WAT-03,S001-WAT-05",C,2,28.0,0.054,2.0743379147742087,1229.280847221722,0.740707760653224
S001,81,"S001-MED-01,S001-WAT-03,S001-WAT-05",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,82,"S001-MED-02,S001-WAT-03,S001-WAT-05",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,83,"S001-MED-01,S001-MED-02,S001-WAT-03,S001-WAT-05",C,4,34.0,0.078,2.1244712300416255,1361.280847221722,0.7344410962447968
S001,84,"S001-WAT-01,S001-WAT-03,S001-WAT-05",C,3,42.0,0.081,2.2061238300702657,1295.280847221722,0.7242345212412168
S001,85,"S001-MED-01,S001-WAT-01,S001-WAT-03,S001-WAT-05",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,86,"S001-MED-02,S001-WAT-01,S001-WAT-03,S001-WAT-05",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,87,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-03,S001-WAT-05",C,5,48.0,0.105,2.2809986530833597,1427.280847221722,0.71487516836458
S001,88,"S001-WAT-02,S001-WAT-03,S001-WAT-05",C,3,42.0,0.081,2.2061238300702657,1295.280847221722,0.7242345212412168
S001,89,"S001-MED-01,S001-WAT-02,S001-WAT-03,S001-WAT-05",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,90,"S001-MED-02,S001-WAT-02,S001-WAT-03,S001-WAT-05",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,91,"S001-MED-01,S001-MED-02,S001-WAT-02,S001-WAT-03,S001-WAT-05",C,5,48.0,0.105,2.2809986530833597,1427.280847221722,0.71487516836458
S001,92,"S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-05",C,4,56.0,0.108,2.404547633656105,1361.280847221722,0.6994315457929869
S001,93,"S001-MED-01,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-05",C,5,59.0,0.12,2.4596685580363125,1427.280847221722,0.6925414302454609
S001,94,"S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-05",C,5,59.0,0.12,2.4596685580363125,1427.280847221722,0.6925414302454609
S001,95,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-05",C,6,62.0,0.132,2.5206778198290847,1493.280847221722,0.6849152725213644
S001,96,"S001-WAT-04,S001-WAT-05",B,2,28.0,0.054,1.2200661075233499,1148.376461337119,0.6949834731191625
S001,96,"S001-WAT-04,S001-WAT-05",C,2,28.0,0.054,2.0743379147742087,1229.280847221722,0.740707760653224
S001,97,"S001-MED-01,S001-WAT-04,S001-WAT-05",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,98,"S001-MED-02,S001-WAT-04,S001-WAT-05",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
S001,99,"S001-MED-01,S001-MED-02,S001-WAT-04,S001-WAT-05",C,4,34.0,0.078,2.1244712300416255,1361.280847221722,0.7344410962447968
S001,100,"S001-WAT-01,S001-WAT-04,S001-WAT-05",C,3,42.0,0.081,2.2061238300702657,1295.280847221722,0.7242345212412168
S001,101,"S001-MED-01,S001-WAT-01,S001-WAT-04,S001-WAT-05",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,102,"S001-MED-02,S001-WAT-01,S001-WAT-04,S001-WAT-05",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,103,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-04,S001-WAT-05",C,5,48.0,0.105,2.2809986530833597,1427.280847221722,0.71487516836458
S001,104,"S001-WAT-02,S001-WAT-04,S001-WAT-05",C,3,42.0,0.081,2.2061238300702657,1295.280847221722,0.7242345212412168
S001,105,"S001-MED-01,S001-WAT-02,S001-WAT-04,S001-WAT-05",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,106,"S001-MED-02,S001-WAT-02,S001-WAT-04,S001-WAT-05",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,107,"S001-MED-01,S001-MED-02,S001-WAT-02,S001-WAT-04,S001-WAT-05",C,5,48.0,0.105,2.2809986530833597,1427.280847221722,0.71487516836458
S001,108,"S001-WAT-01,S001-WAT-02,S001-WAT-04,S001-WAT-05",C,4,56.0,0.108,2.404547633656105,1361.280847221722,0.6994315457929869
S001,109,"S001-MED-01,S001-WAT-01,S001-WAT-02,S001-WAT-04,S001-WAT-05",C,5,59.0,0.12,2.4596685580363125,1427.280847221722,0.6925414302454609
S001,110,"S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-04,S001-WAT-05",C,5,59.0,0.12,2.4596685580363125,1427.280847221722,0.6925414302454609
S001,111,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-04,S001-WAT-05",C,6,62.0,0.132,2.5206778198290847,1493.280847221722,0.6849152725213644
S001,112,"S001-WAT-03,S001-WAT-04,S001-WAT-05",C,3,42.0,0.081,2.2061238300702657,1295.280847221722,0.7242345212412168
S001,113,"S001-MED-01,S001-WAT-03,S001-WAT-04,S001-WAT-05",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,114,"S001-MED-02,S001-WAT-03,S001-WAT-04,S001-WAT-05",C,4,45.0,0.093,2.2419125617660614,1361.280847221722,0.7197609297792423
S001,115,"S001-MED-01,S001-MED-02,S001-WAT-03,S001-WAT-04,S001-WAT-05",C,5,48.0,0.105,2.2809986530833597,1427.280847221722,0.71487516836458
S001,116,"S001-WAT-01,S001-WAT-03,S001-WAT-04,S001-WAT-05",C,4,56.0,0.108,2.404547633656105,1361.280847221722,0.6994315457929869
S001,117,"S001-MED-01,S001-WAT-01,S001-WAT-03,S001-WAT-04,S001-WAT-05",C,5,59.0,0.12,2.4596685580363125,1427.280847221722,0.6925414302454609
S001,118,"S001-MED-02,S001-WAT-01,S001-WAT-03,S001-WAT-04,S001-WAT-05",C,5,59.0,0.12,2.4596685580363125,1427.280847221722,0.6925414302454609
S001,119,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-03,S001-WAT-04,S001-WAT-05",C,6,62.0,0.132,2.5206778198290847,1493.280847221722,0.6849152725213644
S001,120,"S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05",C,4,56.0,0.108,2.404547633656105,1361.280847221722,0.6994315457929869
S001,121,"S001-MED-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05",C,5,59.0,0.12,2.4596685580363125,1427.280847221722,0.6925414302454609
S001,122,"S001-MED-02,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05",C,5,59.0,0.12,2.4596685580363125,1427.280847221722,0.6925414302454609
S001,123,"S001-MED-01,S001-MED-02,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05",C,6,62.0,0.132,2.5206778198290847,1493.280847221722,0.6849152725213644
S001,124,"S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05",C,5,70.0,0.135,2.71985961711914,1427.280847221722,0.6600175478601076
S001,125,"S001-MED-01,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05",C,6,73.0,0.14700000000000002,2.8121617696174215,1493.280847221722,0.6484797787978223
S001,126,"S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05",C,6,73.0,0.14700000000000002,2.8121617696174215,1493.280847221722,0.6484797787978223
S001,127,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05",C,7,76.0,0.15900000000000003,2.9170261261747217,1559.280847221722,0.6353717342281597
S001,128,S001-WAT-06,A,1,14.0,0.027,1.2192098922071886,1190.1757521983359,0.7290644683984026
S001,128,S001-WAT-06,B,1,14.0,0.027,1.0066776428693578,1088.376461337119,0.7483305892826606
S001,128,S001-WAT-06,C,1,14.0,0.027,1.9873345829376692,1163.280847221722,0.7515831771327913
S001,129,"S001-MED-01,S001-WAT-06",A,2,17.0,0.039,1.239997498921291,1250.1757521983359,0.7244450002397131
S001,129,"S001-MED-01,S001-WAT-06",B,2,17.0,0.039,1.0368790954372762,1148.376461337119,0.740780226140681
S001,129,"S001-MED-01,S001-WAT-06",C,2,17.0,0.039,2.0027362727460956,1229.280847221722,0.749657965906738
S001,130,"S001-MED-02,S001-WAT-06",A,2,17.0,0.039,1.239997498921291,1250.1757521983359,0.7244450002397131
S001,130,"S001-MED-02,S001-WAT-06",B,2,17.0,0.039,1.0368790954372762,1148.376461337119,0.740780226140681
S001,130,"S001-MED-02,S001-WAT-06",C,2,17.0,0.039,2.0027362727460956,1229.280847221722,0.749657965906738
S001,131,"S001-MED-01,S001-MED-02,S001-WAT-06",A,3,20.0,0.051000000000000004,1.2640065415603854,1310.1757521983359,0.7191096574310254
S001,131,"S001-MED-01,S001-MED-02,S001-WAT-06",B,3,20.0,0.051000000000000004,1.0736605202870928,1208.376461337119,0.7315848699282268
S001,131,"S001-MED-01,S001-MED-02,S001-WAT-06",C,3,20.0,0.051000000000000004,2.019862376329389,1295.280847221722,0.7475172029588264
S001,132,"S001-WAT-01,S001-WAT-06",B,2,28.0,0.054,1.2200661075233499,1148.376461337119,0.6949834731191625
S001,132,"S001-WAT-01,S001-WAT-06",C,2,28.0,0.054,2.0743379147742087,1229.280847221722,0.740707760653224
S001,133,"S001-MED-01,S001-WAT-01,S001-WAT-06",C,3,31.0,0.066,2.0983300531766846,1295.280847221722,0.7377087433529144
