返航余量（%）,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,架次能耗（kWh）,作业时间（s）
30.0,S001,C,"S001-MED-01,S001-MED-02,S001-WAT-04,S001-WAT-05,S001-WAT-06,S001-WAT-07,S001-WAT-08",76.0,0.159,2.926237390911879,1561.4267416985467
30.0,S002,C,"S002-FOD-01,S002-HYG-01,S002-WAT-01,S002-WAT-02",42.0,0.117,5.2652651730922635,1979.0081265825386
30.0,S002,C,"S002-MED-01,S002-FOD-02,S002-WAT-03,S002-WAT-04",39.0,0.094,5.1872949168009095,1979.0081265825386
30.0,S003,C,"S003-FOD-01,S003-HYG-01,S003-WAT-01,S003-WAT-02",42.0,0.117,5.286702317713442,2303.8108581124256
30.0,S003,C,"S003-MED-01,S003-FOD-02,S003-WAT-03,S003-WAT-04",39.0,0.094,5.20764072545939,2303.8108581124256
30.0,S004,C,"S004-FOD-01,S004-HYG-01,S004-WAT-01,S004-WAT-02",42.0,0.117,5.539956839091938,2173.1854914677906
30.0,S004,B,"S004-MED-01,S004-WAT-03",17.0,0.039,2.586316522591282,1925.772436047869
30.0,S005,C,"S005-MED-01,S005-FOD-01,S005-HYG-01,S005-WAT-01,S005-WAT-02,S005-WAT-03",59.0,0.156,4.238735064547415,1880.0456170960524
30.0,S006,C,"S006-MED-01,S006-FOD-01,S006-HYG-01,S006-WAT-01,S006-WAT-02,S006-WAT-03",59.0,0.156,2.593934934324972,1560.8638852739632
30.0,S007,C,"S007-MED-01,S007-FOD-01,S007-HYG-01,S007-WAT-01,S007-WAT-02",45.0,0.129,3.4103759924476353,1907.4821014862182
30.0,S008,B,"S008-FOD-01,S008-HYG-01",14.0,0.063,2.598697719765732,1905.890111994297
30.0,S008,C,"S008-MED-01,S008-WAT-01,S008-WAT-02",31.0,0.066,5.483504272460986,2071.759889419427
30.0,S009,B,"S009-MED-01,S009-FOD-01,S009-WAT-01",25.0,0.067,2.1024310782372937,1560.7797905471098
30.0,S010,B,"S010-MED-01,S010-FOD-01,S010-WAT-01",25.0,0.067,1.821004406007365,1554.5722391614418
30.0,S011,B,"S011-MED-01,S011-FOD-01,S011-WAT-01",25.0,0.067,1.077146138189977,1189.6308045644855
30.0,S012,B,"S012-MED-01,S012-FOD-01,S012-WAT-01",25.0,0.067,2.7551934702444854,1923.8014006521175
30.0,S013,B,"S013-MED-01,S013-FOD-01,S013-WAT-01",25.0,0.067,1.8245337426160744,1510.400941459331
30.0,S014,B,"S014-MED-01,S014-FOD-01,S014-WAT-01",25.0,0.067,2.1372327174195584,1868.598447869045
30.0,S015,B,"S015-MED-01,S015-FOD-01,S015-WAT-01",25.0,0.067,2.310845731625145,1829.5741010160093
