货箱编号,架次编号,服务区编号,交付完成时刻_s,期望时刻_s,硬截止_s,加权延误
S003-WAT-02,T15,S003,4383.006743567403,7200.0,,0.0
S003-WAT-03,T15,S003,4383.006743567403,7200.0,,0.0
S003-WAT-04,T15,S003,4383.006743567403,7200.0,,0.0
S004-FOD-01,T19,S004,6983.046759349601,10800.0,,0.0
S004-HYG-01,T18,S004,7031.184522961347,14400.0,,0.0
S004-MED-01,T20,S004,6983.046759349601,7200.0,7200.0,0.0
S004-WAT-01,T20,S004,6983.046759349601,7200.0,7200.0,0.0
S004-WAT-02,T19,S004,6983.046759349601,7200.0,,0.0
S004-WAT-03,T18,S004,7031.184522961347,7200.0,,0.0
S005-FOD-01,T21,S005,7085.2302622626885,14400.0,,0.0
S005-HYG-01,T21,S005,7085.2302622626885,18000.0,,0.0
S005-MED-01,T21,S005,7085.2302622626885,10800.0,10800.0,0.0
S005-WAT-01,T21,S005,7085.2302622626885,10800.0,10800.0,0.0
S005-WAT-02,T21,S005,7085.2302622626885,10800.0,,0.0
S005-WAT-03,T21,S005,7085.2302622626885,10800.0,,0.0
S006-FOD-01,T07,S006,1197.4219339682802,7200.0,,0.0
S006-HYG-01,T07,S006,1197.4219339682802,10800.0,,0.0
S006-MED-01,T04,S006,965.5024303794582,3600.0,3600.0,0.0
S006-WAT-01,T04,S006,965.5024303794582,3600.0,3600.0,0.0
S006-WAT-02,T07,S006,1197.4219339682802,3600.0,,0.0
S006-WAT-03,T07,S006,1197.4219339682802,3600.0,,0.0
S007-FOD-01,T15,S007,3743.743228651326,7200.0,,0.0
S007-HYG-01,T07,S007,1919.739912664588,10800.0,,0.0
S007-MED-01,T07,S007,1919.739912664588,3600.0,3600.0,0.0
S007-WAT-01,T07,S007,1919.739912664588,3600.0,3600.0,0.0
S007-WAT-02,T07,S007,1919.739912664588,3600.0,,0.0
S008-FOD-01,T16,S008,4357.142384494837,10800.0,,0.0
S008-HYG-01,T14,S008,4315.651144315315,14400.0,,0.0
S008-MED-01,T16,S008,4357.142384494837,7200.0,7200.0,0.0
S008-WAT-01,T14,S008,4315.651144315315,7200.0,7200.0,0.0
S008-WAT-02,T16,S008,4357.142384494837,7200.0,,0.0
S009-FOD-01,T17,S009,6118.81086654015,14400.0,,0.0
S009-MED-01,T17,S009,6118.81086654015,10800.0,10800.0,0.0
S009-WAT-01,T17,S009,6118.81086654015,10800.0,10800.0,0.0
S010-FOD-01,T06,S010,1085.2264495644085,7200.0,,0.0
S010-MED-01,T06,S010,1085.2264495644085,3600.0,3600.0,0.0
S010-WAT-01,T06,S010,1085.2264495644085,3600.0,3600.0,0.0
S011-FOD-01,T18,S011,6292.90052867761,14400.0,,0.0
S011-MED-01,T18,S011,6292.90052867761,10800.0,10800.0,0.0
S011-WAT-01,T18,S011,6292.90052867761,10800.0,10800.0,0.0
S012-FOD-01,T05,S012,1271.3001753560065,7200.0,,0.0
S012-MED-01,T05,S012,1271.3001753560065,7200.0,3600.0,0.0
S012-WAT-01,T05,S012,1271.3001753560065,3600.0,3600.0,0.0
S013-FOD-01,T10,S013,2618.149061665308,7200.0,,0.0
S013-MED-01,T10,S013,2618.149061665308,3600.0,3600.0,0.0
S013-WAT-01,T10,S013,2618.149061665308,3600.0,3600.0,0.0
S014-FOD-01,T12,S014,3720.304125693212,7200.0,,0.0
S014-MED-01,T02,S014,1272.7615724677457,7200.0,3600.0,0.0
S014-WAT-01,T02,S014,1272.7615724677457,3600.0,3600.0,0.0
S015-FOD-01,T22,S015,7056.57831870276,14400.0,,0.0
S015-MED-01,T04,S015,1718.7315975641468,7200.0,7200.0,0.0
S015-WAT-01,T22,S015,7056.57831870276,10800.0,10800.0,0.0
